Name,Rating,Date,Path
Knives Out,★★★★★,2026-01-09,bōchord/Ideas/Movies/Knives Out.md
Zootopia 2,★★★★☆,2026-01-22,bōchord/Ideas/Movies/Zootopia 2.md
Dr Strangelove,★★★★,2026-05-10,bōchord/Ideas/Movies/Dr Strangelove.md
Harry Potter and the Deathly Hallows Part 2,★★★★,2026-02-07,bōchord/Ideas/Movies/Harry Potter and the Deathly Hallows Part 2.md
Hotel Transylvania 3,★★★★,2026-01-02,bōchord/Ideas/Movies/Hotel Transylvania 3.md
"Planes, Trains and Automobiles",★★★★,2026-01-20,"bōchord/Ideas/Movies/Planes, Trains and Automobiles.md"
Project Hail Mary,★★★★,2026-03-22,bōchord/Ideas/Movies/Project Hail Mary.md
The Adam Project,★★★★,2026-02-21,bōchord/Ideas/Movies/The Adam Project.md
The Estate,★★★★,2026-02-23,bōchord/Ideas/Movies/The Estate.md
Wake Up Dead Man,★★★★,2026-01-03,bōchord/Ideas/Movies/Wake Up Dead Man.md
Chef,★★★☆,2026-03-13,bōchord/Ideas/Movies/Chef.md
Fantastic 4 First Steps,★★★☆,2026-01-25,bōchord/Ideas/Movies/Fantastic 4 First Steps.md
Harry Potter and the Deathly Hallows Part 1,★★★☆,2026-01-30,bōchord/Ideas/Movies/Harry Potter and the Deathly Hallows Part 1.md
Harry Potter and the Half-Blood Prince,★★★☆,2026-01-17,bōchord/Ideas/Movies/Harry Potter and the Half-Blood Prince.md
Present Laughter,★★★☆,2026-02-15,bōchord/Ideas/Movies/Present Laughter.md
The Amazing Maurice,★★★☆,2026-03-07,bōchord/Ideas/Movies/The Amazing Maurice.md
The Hangover,★★★☆,2026-02-01,bōchord/Ideas/Movies/The Hangover.md
The Rip,★★★☆,2026-02-06,bōchord/Ideas/Movies/The Rip.md
Animal Crackers,★★★,2026-03-01,bōchord/Ideas/Movies/Animal Crackers.md
Dodgeball,★★★,2026-03-13,bōchord/Ideas/Movies/Dodgeball.md
Harry Potter and the Order of the Phoenix,★★★,2026-01-10,bōchord/Ideas/Movies/Harry Potter and the Order of the Phoenix.md
Hangover Part II,★★☆,2026-02-18,bōchord/Ideas/Movies/Hangover Part II.md
